@relation 'openjpa_pkg_prediction_change-weka.filters.unsupervised.attribute.Remove-R1-2,8-10-weka.filters.supervised.instance.SMOTE-C2-K5-P4966.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P5427.0-S1-weka.filters.unsupervised.attribute.Add-NClone_Comp-C5-W1.0-weka.filters.unsupervised.attribute.Add-NLogical_Dependency-C2-W1.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Link_Overload numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric

@data
a,0,0,0,0,0,0
a,0,1,0,1,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,1,0,1,0,1
a,0,1,0,0,0,0
a,0,0,0,1,0,1
a,0,0,0,0,0,1
a,0,1,0,1,0,1
a,0,0,0,1,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
c,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
b,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,1,0,1,0,1
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,1,0,1,0,1
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,1
a,0,1,0,1,0,1
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
b,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
b,0,1,0,0,0,0
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
a,0,1,0,0,0,1
a,0,1,0,0,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
c,0,0,0,0,0,1
a,0,1,0,0,0,0
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,1,0,1
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
c,0,1,0,0,0,1
a,0,0,0,0,0,1
a,0,1,0,1,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,1
b,0,1,0,0,0,0
b,0,1,0,1,0,1
a,0,1,0,1,0,1
a,0,1,0,1,0,1
a,0,0,0,0,0,1
a,0,1,0,1,0,1
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,0,0,1
a,0,1,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
a,0,0,0,0,0,1
a,0,1,0,1,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,0,0,1
a,0,0,0,0,0,0
a,0,0,0,0,0,0
a,0,0,0,1,0,0
a,0,0,0,0,0,0
a,0,0,1,0,0,0
a,0,0,0,0,0,0
a,0,1,0,1,0,0
b,0,1,0,0.947195,0,1
b,0,1,0,0,0,0.135537
b,0,1,0,0.156747,0,1
b,0,1,0,0,0,1
b,0,1,0,0.481728,0,1
b,0,1,0,0.190202,0,1
b,0,1,0,0,0,0.026166
b,0,1,0,0.406541,0,1
b,0,1,0,0.592379,0,1
b,0,1,0,0,0,0.734845
b,0,1,0,0.443212,0,1
b,0,1,0,0.340915,0,1
b,0,1,0,0,0,0.037585
b,0,1,0,0,0,0.890159
b,0,1,0,0,0,0.745091
b,0,1,0,0,0,0.261041
b,0,1,0,0,0,1
b,0,1,0,0.808241,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,0.633229
b,0,1,0,0,0,1
b,0,1,0,0,0,0.209149
b,0,1,0,0,0,0.098076
b,0,1,0,0,0,0.032021
b,0,1,0,0.662026,0,1
b,0,1,0,0.85405,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,1
b,0,1,0,0.644012,0,1
b,0,1,0,0,0,0.444956
b,0,1,0,0,0,0.957821
b,0,1,0,0,0,0.202437
b,0,1,0,0,0,0.573557
b,0,1,0,0,0,0.348855
b,0,1,0,0,0,0.968204
b,0,1,0,0,0,1
b,0,1,0,0,0,1
b,0,1,0,0.649901,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,0.545931
b,0,1,0,0.303367,0,1
b,0,1,0,0,0,0.592425
b,0,1,0,0.388729,0,1
b,0,1,0,0.488843,0,1
b,0,1,0,0,0,0.884212
b,0,1,0,0,0,0.662065
b,0,1,0,0.348981,0,1
b,0,1,0,0,0,0.810833
b,0,1,0,0,0,0.707614
b,0,0.016537,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0.469954
b,0,1,0,0,0,0
b,0,0.205977,0,0,0,0
b,0,1,0,0,0,0.238102
b,0,1,0,0,0,0.938539
b,0,1,0,0,0,0.698689
b,0,0.744284,0,0,0,0
b,0,1,0,0,0,0.567033
b,0,0.440159,0,0,0,0
b,0,1,0,0,0,0.285553
b,0,0.707018,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0.745657
b,0,1,0,0,0,0
b,0,1,0,0,0,0
b,0,0.870127,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0.633051
b,0,1,0,0,0,0
b,0,1,0,0,0,0.081628
b,0,1,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0.922308
b,0,1,0,0,0,0
b,0,1,0,0,0,0.312331
b,0,1,0,0,0,0.98339
b,0,1,0,0,0,0.53305
b,0,1,0,0,0,0.939537
b,0,1,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0.491337
b,0,1,0,0,0,0
b,0,0.123542,0,0,0,0
b,0,0.186522,0,0,0,0
b,0,1,0,0,0,0
b,0,1,0,0,0,0.890626
b,0,1,0,0,0,0.479592
b,0,1,0,0,0,0
b,0,1,0,0,0,0.163075
b,0,1,0,0,0,0
b,0,1,0,0,0,0
b,0,0.026457,0,0,0,0
b,0,1,0,0,0,0.196371
b,0,1,0,0.911664,0,1
b,0,1,0,0,0,0.999737
b,0,1,0,0.184843,0,1
b,0,1,0,0,0,0.666522
b,0,1,0,0,0,0.426666
b,0,1,0,0,0,0.572767
b,0,1,0,0.286431,0,1
b,0,1,0,0.908114,0,1
b,0,1,0,0.734267,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,0.86522
b,0,1,0,0,0,1
b,0,1,0,0.183841,0,1
b,0,1,0,0.133566,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,0.971574
b,0,1,0,0,0,0.611541
b,0,1,0,0.905521,0,1
b,0,1,0,0.152985,0,1
b,0,1,0,0,0,0.754599
b,0,1,0,0.582653,0,1
b,0,1,0,0,0,1
b,0,1,0,0.751464,0,1
b,0,1,0,0.274203,0,1
b,0,1,0,0.975147,0,1
b,0,1,0,0,0,1
b,0,1,0,0,0,1
b,0,1,0,0.876915,0,1
b,0,1,0,0.4379,0,1
b,0,1,0,0,0,0.494818
b,0,1,0,0,0,0.417436
b,0,1,0,0.477601,0,1
b,0,1,0,0.334202,0,1
b,0,1,0,0,0,1
b,0,1,0,0.779669,0,1
b,0,1,0,0.635867,0,1
b,0,1,0,0.55996,0,1
b,0,1,0,0.000758,0,1
b,0,1,0,0.079476,0,1
b,0,1,0,0.139092,0,1
b,0,1,0,0,0,0.963236
b,0,1,0,0.036824,0,1
b,0,1,0,0,0,0.433654
b,0,1,0,0,0,0.654183
b,0,1,0,0,0,1
b,0,1,0,0,0,0.642027
b,0,1,0,0,0,0.105637
b,0,1,0,0,0,0.623125
b,0,1,0,0.034901,0,1
b,0,1,0,0,0,0.031149
b,0,0.235436,0,0,0,0
b,0,0.135833,0,0,0,0
b,0,0,0,0,0,0
b,0,0.676324,0,0,0,0
b,0,0.649233,0,0,0,0
b,0,0.336351,0,0,0,0
b,0,0.693156,0,0,0,0
b,0,0.447821,0,0,0,0
b,0,0,0,0,0,0
b,0,0.926396,0,0,0,0
b,0,0.46991,0,0,0,0
b,0,0.897796,0,0,0,0.011519
b,0,0.051018,0,0,0,0
b,0,0.933648,0,0,0,0
b,0,0.718569,0,0,0,0
b,0,0,0,0,0,0
b,0,0.789067,0,0,0,0
b,0,0.869467,0,0,0,0.567145
b,0,0.706287,0,0,0,0
b,0,0,0,0,0,0
b,0,0.459976,0,0,0,0.562061
b,0,0.016345,0,0,0,0
b,0,0.267343,0,0,0,0
b,0,0.007622,0,0,0,0
b,0,0.616906,0,0,0,0
b,0,0.799396,0,0,0,0.717439
b,0,0,0,0,0,0
b,0,0.399924,0,0,0,0
b,0,0,0,0,0,0
b,0,0.944943,0,0,0,0.672985
b,0,0.615056,0,0,0,0
b,0,0,0,0,0,0
b,0,0.866965,0,0,0,0
b,0,0.040095,0,0,0,0
b,0,0.035829,0,0,0,0.322
b,0,0.91137,0,0,0,0
b,0,0,0,0,0,0
b,0,0.108722,0,0,0,0
b,0,0.35026,0,0,0,0
b,0,0.652429,0,0,0,0
b,0,0.91944,0,0,0,0.231101
b,0,0.947431,0,0,0,0.846441
b,0,0.240757,0,0,0,0
b,0,0,0,0,0,0
b,0,0.923127,0,0,0,0.201627
b,0,0.209508,0,0,0,0
b,0,0,0,0,0,0
b,0,0.29683,0,0,0,0
b,0,0.231699,0,0,0,0
b,0,0.777409,0,0,0,0.61087
b,0,1,0,1,0,0
b,0,1,0,1,0,0
b,0,1,0,1,0,0.488367
b,0,1,0,1,0,0
b,0,1,0,0.34228,0,0
b,0,1,0,1,0,0.838603
b,0,1,0,0.70602,0,0
b,0,1,0,1,0,0.51839
b,0,1,0,1,0,0.021421
b,0,1,0,1,0,0
b,0,1,0,1,0,0
b,0,1,0,1,0,0.49253
b,0,1,0,1,0,0.635705
b,0,1,0,1,0,0.32086
b,0,1,0,1,0,0.106816
b,0,1,0,1,0,0.726772
b,0,1,0,0.148587,0,0
b,0,1,0,1,0,0.535315
b,0,1,0,0.19594,0,0
b,0,1,0,1,0,0
b,0,1,0,0.29214,0,0
b,0,1,0,0.904116,0,0
b,0,1,0,0.510003,0,0
b,0,1,0,1,0,0
b,0,1,0,1,0,0
b,0,1,0,0.717806,0,0
b,0,1,0,0.21883,0,0
b,0,1,0,1,0,0
b,0,1,0,0.668297,0,0
b,0,1,0,1,0,0.771869
b,0,1,0,1,0,0
b,0,1,0,0.484111,0,0
b,0,1,0,0.228697,0,0
b,0,1,0,1,0,0.991228
b,0,1,0,0.660115,0,0
b,0,1,0,0.96171,0,0
b,0,1,0,0.9764,0,0
b,0,1,0,1,0,0.671942
b,0,1,0,1,0,0.586529
b,0,1,0,1,0,0
b,0,1,0,0.296755,0,0
